"2","N5","一","イチ, イツ","ひと, ひと.つ","un"
"3","N1","丁","チョウ, テイ","ひのと","bloc , adulte, exactitude, soin extrême"
"4","N5","万","マン, バン","よろず","dix-mille"
"5","N1","丈","ジョウ","たけ, だけ","longueur, Mr, Mme, stature, taille,seulement"
"6","N5","三","サン, ゾウ","み, み.つ, みっ.つ","trois"
"7","N5","上","ジョウ, ショウ, シャン","うえ,  あ.げる, のぼ.る","au-dessus, haut, monter, donner"
"8","N5","下","カ, ゲ","した,  さ.げる, くだ.る","au-dessous, descendre, bas, donner,inférieur"
"9","N4","不","フ, ブ","-","préfixe de négation, non"
"10","N3","与","ヨ","あた.える, あずか.る,くみ.する, ともに","donner, décerner, offrir, conférer, don"
"11","N1","且","ショ, ソ, ショウ","か.つ","de plus, en outre, et aussi"
"12","N4","世","セイ, セ","よ, さんじゅう","monde, époque, génération"
"13","N1","丘","キュウ","おか","colline, butte"
"14","N1","丙","ヘイ","ひのえ","trois, troisième élément d'une série"
"15","N3","両","リョウ","てる, ふたつ","deux, les deux, paire, compteur des wagons"
"16","N2","並","ヘイ","な.み, なら.べる, なら.ぶ","alignée, rangée, mettre en rang, faire la queue"
"17","N5","中","チュウ","なか, うち, あた.る","dans, dedans, à l'intérieur, milieu, centre, moyenne"
"18","N2","丸","ガン","まる.い","rond, circulaire"
"19","N1","丹","タン","に","vermillon, couleur rouille, rouge"
"20","N4","为","シュ, ス","ぬし, おも","seigneur, maître, mari"
"21","N2","久","キュウ, ク","ひさ.しい","ancien, qui dure, depuis longtemps"
"22","N1","乏","ボウ","とぼ.しい","insuffisance, dénuement, manque"
"23","N4","乗","ジョウ","の.る","monter (dans un véhicule), embarquer"
"24","N1","乙","オツ, イツ","おと, きのと","dernier, plein d'esprit, étrange, chic, piquant"
"25","N5","九","キュウ, ク","ここの, ここの.つ","neuf"
"26","N2","乱","ラン, ロン","みだ.る, おさ.める, わた.る","rébellion, émeute, mettre en désordre, confusion"
"27","N2","乳","ニュウ","ちち, ち","sein, lait maternel"
"28","N2","乾","カン, ケン","かわ.く, ほ.す, ひ.る","vider (un verre), sécher, sécheresse"
"29","N1","亀","キ","かめ","tortue"
"30","N2","了","リョウ","-","achevé, fini"
"31","N3","争","ソウ","あらそ.う","se quereller, se disputer, se battre"
"32","N4","事","ジ","こと","fait, chose abstraite, affaire"
"33","N5","二","ニ, ジ","ふた, ふた.つ, ふたた.び","deux"
"34","N3","互","ゴ","たが.い, かたみ.に","mutuel, réciproque"
"35","N5","五","ゴ","いつ, いつ.つ","cinq"
"36","N1","井","セイ, ショウ","い","puits, margelle, ville"
"37","N1","亜","ア","つ.ぐ","Asie, suivant, sous-, sub-"
"38","N3","亡","ボウ, モウ","な.い, ほろ.びる","décédé, mort, mourir"
"39","N3","交","コウ","まじ.る","intersection, se mélanger"
"40","N1","享","キョウ, コウ","う.ける","recevoir, répondre (au téléphone), prendre,subir (un test, une opération)"
"41","N4","京","キョウ, ケイ, キン","みやこ","capitale, 10^16"
"42","N1","亭","テイ","-","pavillon, restaurant"
"43","N5","人","ジン, ニン","ひと","être humain, personne"
"44","N1","仁","ジン, ニ, ニン","-","bienveillance, humanité, charité"
"45","N5","今","コン","いま","maintenant"
"46","N2","介","カイ","-","intermédiaire, intervention, coquillage"
"47","N2","仏","ブツ, フツ","ほとけ","Bouddha, France, français"
"48","N4","仕","シ","つか.える","servir, faire"
"49","N3","他","タ","ほか","autre"
"50","N3","付","フ","つ.ける","coller, attacher, fixer"
"51","N1","仙","セン, セント","-","ermite, sorcier, centime (sen = 1/100 de yen)"
"52","N4","代","ダイ, タイ","かわ.り","génération, période, substitution, prix"
"53","N2","令","レイ","-","ordre, commandement, décret"
"54","N4","以","イ","もっ.て","par le moyen de, en vue de, comparé à"
"55","N2","仮","カ, ケ","かり","temporaire, provisoire, nom d'emprunt"
"56","N1","仰","ギョウ, コウ","あお.ぐ, お.っしゃる","dire, raconter (hum), dépendre, respecter,prendre (de la nourriture)"
"57","N2","仲","チュウ","なか","rapport, relation, médiation"
"58","N3","件","ケン","くだん","affaire, cas, article"
"59","N3","任","ニン","まか.せる, まか.す","responsabilité, confier à"
"60","N1","企","キ","くわだ.てる, たくら.む","entreprendre, projet, concept, plan"
"61","N1","伎","ギ, キ","わざ","technique, art"
"62","N1","伐","バツ","き.る, う.つ","abattre (un arbre), couper, attaquer, frapper"
"63","N5","休","キュウ","やす.む, やす.める","se reposer, repos"
"64","N5","会","カイ","あ.う","réunion, rencontre, parti"
"65","N3","伝","デン, テン","つた.わる, つた.える","transmettre, communiquer, légende,tradition"
"66","N1","伯","ハク","-","chef, comte, oncle, Brésil"
"67","N1","伴","ハン","ともな.う","accompagner, amener avec soi, conjoint,compagnon"
"68","N2","伸","シン","の.びる","élargir, étendre, étirer, allonger"
"69","N2","伺","シ","うかが.う","demander, questionner, visiter (hon),présenter ses respects"
"70","N3","似","ジ","に.る","ressembler à, imiter"
"71","N1","但","タン","ただ.し","pourtant, mais"
"72","N3","位","イ","くらい, ぐらい","rang, position, à peu près"
"73","N4","低","テイ","ひく.い, ひく.める","bas, abaisser"
"74","N4","住","ヂュウ","す.む","résider, habiter"
"75","N1","佐","サ","-","aide, assistance"
"76","N4","体","タイ","からだ","corps"
"77","N5","何","カ","なに, なん","quoi, que"
"78","N3","余","ヨ","あま.る, あま.り","dépasser, surplus"
"79","N4","作","サク, サ","つく.る","fabriquer, produire, réaliser"
"80","N1","佳","カ","-","excellent, bon, bien, habile"
"81","N1","併","ヘイ","あわ.せる","relier, joindre, unir, simultané"
"82","N4","使","シ","つか.う","utiliser"
"83","N3","例","レイ","たと.える","exemple, précédent"
"84","N1","侍","ジ, シ","さむらい, はべ.る","samuraï, serviteur, servir"
"85","N3","供","キョウ, ク, クウ","そな.える, とも","accompagner, offrir, suffixe du pluriel"
"86","N2","依","イ, エ","よ.る","dépendant, dû à"
"87","N2","価","カ, ケ","あたい","prix, valeur"
"88","N1","侮","ブ","あなど.る","mépriser, traiter de haut, dédain, outrage"
"89","N1","侯","コウ","-","seigneur, daimyo"
"90","N1","侵","シン","おか.す","intrusion, invasion, entrer sans permission"
"91","N4","便","ベン, ビン","たよ.り","commodité, lettre, courrier"
"92","N3","係","ケイ","かか.る","service, en charge de, devoir"
"93","N1","俊","シュン","-","perspicace, sage, génie, excellent"
