Français;Kanji;Kana;Rōmaji;Type
Abominable, détestable , odieux;憎い;にくい;nikui;い 
Absolu;絶対;ぜったい;zettai;な 
Absolu, complet , pur;純然;じゅんぜん;junzen;な 
Absurde, outrageant;大それた;だいそれた;daisoreta;な 
Adorable;愛らしい;あいらしい;airashī;い 
Affecté;態とらしい;わざとらしい;wazatorashī;い 
Agile, expéditif;手早い;てばやい;tebayai;い 
Agréable, amusant , joyeux;楽しい;たのしい;tanoshī;い 
Aguicheur;可愛らしい;かわいらしい;kawaishī;い 
Aimable;優しい;やさしい;yasashī;い 
Amer;苦い;にがい;nigai;い 
Amusant, marrant, drôle;可笑しい;おかしい;okashī;い 
Apeurant, effrayant;怖い;こわい;kowai;い 
Assourdissant;喧しい;やかましい;yakamashī;い 
Astringent;渋い;しぶい;shibui;い 
Astucieux, futé;狡い;ずるい;zurui;い 
Atroce, féroce;凶悪;きょうあく;kyōaku;な 
Avare;吝嗇;りんしょく;rinshoku;な 
À la mode;お洒落;おしゃれ;oshare;な 
Bas;低い;ひくい;hikui;い 
Beau;美しい;うつくしい;utsukushī;い 
Bête, idiot;馬鹿;ばか;baka;な 
Bienfaisant;慈悲深い;じひぶかい;jihibukai;い 
Bien, bon;良い;いい, よい;ii, yoi;い 
Bienveillant;親切;しんせつ;shinsetsu;な 
Bon marché;安い;やすい;yasui;い 
Bon, convenable;宜しい;よろしい;yoroshī;い 
Brave;勇敢;ゆうかん;yūkan;な 
Brillant;輝かしい;かがやかしい;kagayakashī;い 
Brûlant;熱い;あつい;atsui;い 
Bruyant, ennuyeux;煩い;うるさい;urusai;い 
Calme, silencieux;静か;しずか;shizuka;な 
Célèbre, fameux;有名;ゆうめい;yūmei;な 
Charmant, ravissant;愛しい;いとしい;itoshī;い 
Chaud;暖かい　(météo);あたたかい;atatakai;い 
Chaud;温かい　(objet, sentiment);あたたかい;atatakai;い 
Circulaire, rond;丸い;まるい;marui;い 
Clair (éclairé);明るい;あかるい;akarui;い 
Conditionnel;条件付き;じょうけんつき;jōkentsuki;な 
Correct, juste;正しい;ただしい;tadashī;い 
Content, heureux;嬉しい;うれしい;ureshī;い 
Courageux;勇ましい;いさましい;isamashī;い 
Court;短い;みじかい;mijikai;い 
Crasseux, dégoûtant , terne;薄汚い;うすぎたない;usugitanai;い 
Cruel;残酷;ざんこく;zankoku;な 
Dangereux;危ない;あぶない;abunai;い 
Défini;明確;めいかく;meikaku;な 
Dégoûtant;不味い (gustativement);まずい;mazui;い 
Délicieux;美味しい;おいしい;oishī;い 
Démangeant;痒い;かゆい;kayui;い 
Dénigrant;口喧しい;くちやかましい;kuchiyakamashī;い 
Désagréable, détestable , dégoûtant, indésirable;嫌;いや;iya;な 
Désirable;望ましい;のぞましい;nozomashī;い 
Désiré, voulu;欲しい;ほしい;hoshī;い 
Détestable;嫌;いや;iya;な 
Difficile;難しい;むずかしい;muzukashī;い 
Distant;水臭い;みずくさい;mizukusai;い 
Douloureux;痛い;いたい;itai;い 
Douloureux;苦しい;くるしい;kurushī;い 
Douteux, suspect;胡散臭い;うさんくさい;usankusai;い 
Doux;柔らかい;やわらかい;yawarakai;い 
Effrayant;怖い;こわい;kowai;い 
Ennuyeux;退屈;たいくつ;taikutsu;な 
Éblouissant, éclatant , radieux;眩しい;まぶしい;mabushī;い 
Élégant;格好いい;かっこういい;kakkōī;い 
Éloigné;遠い;とおい;tōi;い 
Énorme;莫大;ばくだい;bakudai;な 
Éphémère;儚い;はかない;hakanai;い 
Étendu;幅広い;はばひろい;habahiroi;い 
Étrange;怪しい;あやしい;ayashī;い 
Étroit;狭い;せまい;semai;い 
Favorable;愛でたい;めでたい;medetai;い 
Facile;易い;やすい;yasui;い 
Faible, fragile;弱い;よわい;yowai;い 
Fantastique;素晴らしい;すばらしい;subarashī;い 
Faux;贋;にせ;nise;な 
Féminin;女らしい;おんならしい;onnarashī;い 
Fétide, nauséabond , suspect;臭い;くさい;kusai;い 
Fort;強い;つよい;tsuyoi;い 
Frais;涼しい (météo);すずしい;suzushī;い 
Frais;冷たい (objet);つめたい;tsumetai;い 
Froid;寒い;さむい;samui;い 
Frustrant, regrettable , vexant;悔しい;くやしい;kuyashī;い 
Galant;颯爽;さっそう;sassō;たる (taru)
Gentil;優しい;やさしい;yasashī;い 
Gênant;迷惑 ;めいわく;meiwaku;な 
Gênant;厄介;やっかい;yakkai;な 
Généreux;寛大;かんだい;kandai;な 
Génial, merveilleux, Terrible, effrayant.;凄い;すごい;sugoi;い 
Grand, gros;大きい;おおきい;ōkī;い 
Grand, haut , cher;高い;たかい;takai;い 
Gratuit;無料;むりょう;muryō;な 
Habile;利口;りこう;rikō;な 
Haineux;怨めしい;うらめしい;urameshī;い 
Haïssable;嫌い;きらい;kirai;い 
