この部屋は広くて明るいです。;このへやはひろくてあかるいです。;Cette pièce est spacieuse et lumineuse.;広い ひろい spacieuse 明るい あかるい lumineuse
彼女は優しくて美しい人です。;かのじょはやさしくてうつくしいひとです。;Elle est une personne gentille et belle.;優しい やさしい gentille 美しい うつくしい belle
このケーキは甘くて柔らかいです。;このケーキはあまくてやわらかいです。;Ce gâteau est sucré et moelleux.;甘い あまい sucré 柔らかい やわらかい moelleux
その映画は面白くて感動的でした。;そのえいがはおもしろくてかんどうてきでした。;Ce film était intéressant et émouvant.;面白い おもしろい intéressant 感動的 かんどうてき émouvant
この本は難しくて長いです。;このほんはむずかしくてながいです。;Ce livre est difficile et long.;難しい むずかしい difficile 長い ながい long
彼は賢くて親切な先生です。;かれはかしこくてしんせつなせんせいです。;Il est un professeur intelligent et gentil.;賢い かしこい intelligent 親切 しんせつ gentil
この町は静かで綺麗です。;このまちはしずかできれいです。;Cette ville est calme et belle.;静か しずか calme 綺麗 きれい belle
その問題は複雑で深刻です。;そのもんだいはふくざつでしんこくです。;Ce problème est complexe et grave.;複雑 ふくざつ complexe 深刻 しんこく grave
この料理は辛くて美味しいです。;このりょうりはからくておいしいです。;Ce plat est épicé et délicieux.;辛い からい épicé 美味しい おいしい délicieux
彼の話は短くて面白かったです。;かれのはなしはみじかくておもしろかったです。;Son histoire était courte et intéressante.;短い みじかい court 面白い おもしろい intéressant
この公園は広くて静かで綺麗です。;このこうえんはひろくてしずかできれいです。;Ce parc est spacieux, calme et beau.;広い ひろい spacieux 静か しずか calme 綺麗 きれい beau
その映画は長くて退屈でつまらなかったです。;そのえいがはながくてたいくつでつまらなかったです。;Ce film était long, ennuyeux et inintéressant.;長い ながい long 退屈 たいくつ ennuyeux つまらない つまらない inintéressant
彼女は優しくて賢くて美しいです。;かのじょはやさしくてかしこくてうつくしいです。;Elle est gentille, intelligente et belle.;優しい やさしい gentille 賢い かしこい intelligente 美しい うつくしい belle
この部屋は狭くて暗くて寒いです。;このへやはせまくてくらくてさむいです。;Cette pièce est étroite, sombre et froide.;狭い せまい étroite 暗い くらい sombre 寒い さむい froide
こ美しくて明るくて広い新しい家が気に入った。;このうつくしくてあかるくてひろいあたらしいいえがきにいった。;J’aime cette belle, lumineuse, spacieuse et nouvelle maison.;美しい うつくしい belle 明るい あかるい lumineuse 広い ひろい spacieuse 新しい あたらしい nouvelle
彼女は優しくて親切で賢い人だ。;かのじょはやさしくてしんせつでかしこいひとだ。;Elle est une personne gentille, serviable et intelligente.;優しい やさしい gentille 親切 しんせつ serviable 賢い かしこい intelligente
この甘くて酸っぱくて冷たい飲み物が好きだ。;このあまくてすっぱくてつめたいのみものがすきだ。;J’aime cette boisson sucrée, acidulée et froide.;甘い あまい sucré 酸っぱい すっぱい acidulé 冷たい つめたい froid
彼は背が高くて細くて強い選手だ。;かれはせがたかくてほそくてつよいせんしゅだ。;C’est un joueur grand, mince et fort.;高い たかい grand 細い ほそい mince 強い つよい fort
この古くて小さくて暗い部屋を直したい。;このふるくてちいさくてくらいへやをなおしたい。;Je veux rénover cette vieille, petite et sombre pièce.;古い ふるい vieux 小さい ちいさい petit 暗い くらい sombre
あの静かで綺麗で広い公園に行きたい。;あのしずかできれいでひろいこうえんにいきたい。;Je veux aller dans ce calme, beau et grand parc.;静か しずか calme 綺麗 きれい beau 広い ひろい grand
この軽くて柔らかくて暖かい毛布が欲しい。;このかるくてやわらかくてあたたかいもうふがほしい。;Je veux cette légère, douce et chaude couverture.;軽い かるい léger 柔らかい やわらかい doux 暖かい あたたかい chaud
彼は真面目で誠実で優秀な学生だ。;かれはまじめでせいじつでゆうしゅうながくせいだ。;C’est un étudiant sérieux, honnête et brillant.;真面目 まじめ sérieux 誠実 せいじつ honnête 優秀 ゆうしゅう excellent
この辛くて濃くて香ばしいカレーが好きだ。;このからくてこくてこうばしいカレーがすきだ。;J’aime ce pimenté, riche et parfumé curry.;辛い からい pimenté 濃い こい riche 香ばしい こうばしい parfumé
あの速くて静かで快適な電車に乗りたい。;あのはやくてしずかでかいてきなでんしゃにのりたい。;Je veux monter dans ce rapide, silencieux et confortable train.;速い はやい rapide 静か しずか silencieux 快適 かいてき confortable
この新しくて便利で安いスマホを買った。;このあたらしくてべんりでやすいスマホをかった。;J’ai acheté ce nouveau, pratique et pas cher smartphone.;新しい あたらしい nouveau 便利 べんり pratique 安い やすい pas cher
彼女は明るくて元気で可愛い子だ。;かのじょはあかるくてげんきでかわいいこだ。;C’est une enfant joyeuse, énergique et mignonne.;明るい あかるい joyeuse 元気 げんき énergique 可愛い かわいい mignonne
この硬くて重くて冷たい石を持ち上げた。;このかたくておもくてつめたいいしをもちあげた。;J’ai soulevé cette dure, lourde et froide pierre.;硬い かたい dur 重い おもい lourd 冷たい つめたい froid
あの美味しくて健康的で安いレストランに行こう。;あのおいしくてけんこうてきでやすいレストランにいこう。;Allons dans ce bon, sain et pas cher restaurant.;美味しい おいしい bon 健康的 けんこうてき sain 安い やすい pas cher
この難しくて長くて退屈な本を読まなければならない。;このむずかしくてながくてたいくつなほんをよまなければならない。;Je dois lire ce difficile, long et ennuyeux livre.;難しい むずかしい difficile 長い ながい long 退屈 たいくつ ennuyeux
彼女は優しくて美しくて賢い女性だ。;かのじょはやさしくてうつくしくてかしこいじょせいだ。;C’est une femme gentille, belle et intelligente.;優しい やさしい gentille 美しい うつくしい belle 賢い かしこい intelligente
この暖かくて柔らかくて香りの良いパンが好きだ。;このあたたかくてやわらかくてかおりのよいパンがすきだ。;J’aime ce pain chaud, moelleux et parfumé.;暖かい あたたかい chaud 柔らかい やわらかい moelleux 良い よい bon
